song_name,artist_name,decade,lyrics
האשם תמיד,יאיר ניצני,1980s,"אהלן חבר'ה, מה העניינים
הבאתי לכם שיר, משהו על הפנים
לא זמר משהו מי יודע מה
לא זמר קסטות או זמר נשמה
אני האשם, אני האשם תמיד
האשם האחד והיחיד
האשם הוא שלנו, האשם לא לבד
הוא בטח לא פראייר של אף אחד
כל ערב בתשע, אחרי החדשות
יושב אני בבית וחושב מה לעשות
דופק איזה אמבטיה, גילוח ופן
קונה קופסת סיגריות, אני לא מעשן
אומר לבעל בית ""סלאמאת, כל טוב""
הופ, אני בדיזנגוף, שיער רטוב
לוקח ת'אופניים, הולך לאסוף
אנואר ואחמד מחכים לי ברחוב
האשם, אני האשם תמיד...
הולכים לסינרמה, השעה שלוש
דפקנו כמה וויסקי ותפסנו ראש
החבר'ה ואני קלות מענטזים
יורדים באלגנט לרחבת הריקודים
שחק אותה סקסי
רוקדת בחורה עם שערות לגלוש
הרבה על הידיים ומעט על הראש
היא שואלת: ""באבי, טל מי, מה שמך""
מיד עונה ומבקש סליחה
האשם, זה מה שקוראים אותי החבר'ה
האשם האחד והיחיד
אני רטוב במצח, מעט מתרגש
היא מוציאה סיגריה: ""נו, תביא לי אש""
אני מביא לה גפרור ונהיה לי חם
פתאום אני רואה שנשרף לה השפם
היא אומרת לי: ""האשם, מה אתה עושה""
אני? אני מלצר בבית קפה
בשש אני לוקח ת'ילדה לישון
מנשק אותה בלחי ואומר שלום
האשם, מנשק אותה בלחי ובעורף ובאוזן
האשם האחד והיחיד
האשם הוא שלנו, האשם לא לבד
הוא בטח לא פראייר של אף אחד
היא לוחשת לי באוזן: ""ניפגש מחר
אבי המואזין ואימי המוכתר""
אני נכנס לדיכאון ונהיה מאוחר
איך אנחנו שנינו מאותו הכפר
רציתי בחורה עם ערכים ברורים
ומצאתי את נחמה ממאה שערים
אני משגיח כשרות, לומד בישיבה
כן, האשם ידידנו חזר בתשובה
אני רב האשם תמיד ואלוהים גדול
ואם ירצה השם אז הוא הכל יכול
אלוהינו ביותר ואני לא לבד
אלוהינו לא פראייר של אף אחד
האשם הוא שלנו, האשם לא לבד
הוא בטח לא פראייר של אף אחד
האשם, אני האשם תמיד..."
לא עוזב את העיר,שלמה ארצי,1980s,"והוא לפני סיום
סוגר כבר את השער.
מרפה מן העניין,
חומק אל תוך השיר.
והיא לפני סיום שואלת:
""האם אתה נשאר?
האם השיר ימנע מבעדנו להמשיך?""
""לא עוזב את העיר!""
הוא אומר לה,
""עבור אף אחד.
אנחנו שניים תמיד,
ביננו אלוהים אחד.
ואת עבורי
כמו שתיקה דקה,
וכך או כך
לא עוזב גם אותך"".
ואחר כך משום שתכלת,
הרדיו מעודד,
רק סימני החוף
מעוררים ספק.
והיא מתוך סיום שואלת:
""האם יהיה מדי?""
אם היא פתאום תפרוץ בבכי לא מתאפק.
לא עוזב את העיר...
שמות לפני סיום,
והוא פתאום מבטיח,
מתוך חלום זהיר
הם נשענים אל ים.
למות לפני סיום,
והיא על קו רקיע,
מתוחה כמו עיר קטנה -
דמוית שרב.
לא עוזב את העיר..."
די לי די,אילנה אביטל,1980s,"קו לכאב וגבול לצער 
סוף גם לשתיקה 
לשוני חדה כתער 
ליבתי רכה 
קול קורא ישרי קומה 
והניצן יבקע 
קול קורא היי שלמה 
הרי את חזקה 
די לי די רק בשתי ידי
אמצא את המסילה 
די לי די גם אם לא כדאי 
רק אל תאמר מילה 
די לי די רק בשתי ידי
אשא את השגיאה 
די לי די זה נגמר ודי 
אני כבר לא פגיעה 
עוד אפרוץ מנעול ושער 
גשר לאורכו 
גם זאב בודד ביער 
מפלס דרכו 
קול קורא 
הגיע עת 
ואת כבר מנוסה 
קול קורא 
בזמן לצאת 
אל דרך המסע 
די לי די..."
שיר על נחלים,אילנית,1980s,"מי הנחלים
מקיימים את הזרימה
שנה אחר שנה,
שנה אחר שנה.
הם יצננו
את רגלינו הדולקות,
רגלינו הדולקות
ולא את הנשמה.
כמו על נחלים
זרועותינו משתלבות
וגשר מהוות
לתום ולתקווה.
הכאב הזה,
הכאב המתלווה,
גם הכאב הזה
שייך לאהבה.
אנשים יוצאים
וחושבים להתראות
וזו הכוונה,
וזו הכוונה.
פעם נקיים
כי בפתק שבלב,
בפתק שבלב
הכתובת רשומה.
כמו על נחלים..."
יא ליל יא לילי,ענת רקם,1980s,"הכוכבים יפים בלילה
וממדורות נישא עשן
אחרי יענו עוד הלאה מעלה,
כאז שירנו הישן.
געגועים נמלא ליבנו,
ומגרוננו הניחר
עוד יינשא כאז שירנו
עד אור הבוקר עד מחר.
יא ליל - יא ליל,
יא לילי, יא ליל, יא לילי חלילי
הי חלילי לי לילי.
יא ליל, יא ליל לי חלילי,
היי חלילי
נגן עוד לי,
וזה הלילה זה לילי,
יא ליל, יא ליל, יא לילי
וזה הלילה זה לילי,
נגן, נגן לי
נגן, נגן לי חלילי.
הכוכבים יפים הלילה
ומגרוננו הניחר,
נישא שירנו הלאה מעלה
איתו נישא חלום מחר.
עצוב השיר ממש כפעם
דומעות עינינו מעשן,
ומה נותר מזה? רק טעם
של שיר ישן, כן שיר ישן.
יא ליל - יא ליל..."
רוצה להיות נגן,מני בגר,1980s,"בבית הספר כל הילדים שיחקו בכל מיני דברים
עמדתי לי בצד כי לא הבנתי שום דבר
סוף שבוע יום שישי ירד, כולם הולכים מחר לים
ישבתי על ספסל בגן, חשבתי על דבר אחד
שאני הולך להיות נגן
אני הולך להיות נגן
ולא אכפת לי מה יאמרו כולם
ולא אכפת לי איך עובר הזמן
אני הולך להיות נגן
הלימודים קשים בפנימינה
אנגלית, ספרות, ועוד שנה
כולם סיימו והצטיינו
הגיעו לצבא
דני נשא את השכנה
לאסתי וזוהר יש ילדה
לא כמו כולם, לי יש עוד זמן
אני מגשים חלום ישן, כן
אני הולך להיות נגן..."
בעקבותיו,גלי עטרי,1980s,"מי ידליק לי את האור
למי יש רמז שימסור
לאיזה כיוון ובאיזו חולצה
לאיפה הדרך אותה הוא חצה
בעקבותיו אני כאן לבדי
ובינתיים הכל נגדי.
אין ברירה, סימטה צרה
הכל דומם אני ערה,
מה מיוחד בו שככה תפס
ומה משוחרר בי שכך נאחז
בעקבותיו אני כאן לבדי
ובינתיים הכל נגדי.
דרך ארוכה עברתי יש לי מטרה,
דרך פרטית, דרך בלי חזרה
לא אכפת לי מה יגידו, אין זה משנה
איש במקומי את ביתי בשבילי לא יבנה.
לילה קר פרוזדור מואר
באור חלש כמו בלש
אני מתקדמת בלי מעצורים
אני מתקדמת אתה שם בפנים
באתי לקחת אותך תתלבש
מאוחר כבר, אל תתעקש.
דרך ארוכה עברתי יש לי מטרה...
לילה קר פרוזדור מואר
באור חלש כמו בלש
אני מתקדמת בלי מעצורים
אני מתקדמת אתה שם בפנים
באתי לקחת אותך, תתלבש
מאוחר כבר, אל תתעקש."
שירים פשוטים,שלמה גרוניך,1980s,"כולם רוצים שירים פשוטים
שירים בשני אקורדים
כולן דורשות מילים פשוטות
שלא אומרות לי שום דבר.
יוצאים לרקוד רוצים לשמוח
לא לחשוב יותר מידי
לשיר בשני קולות
שעם ישראל עוד חי.
כולם יושבים בבית קפה
מאזינים לרדיו
וכל השעה החדשות
אחר כך יש פרסומות.
(ככה זה)
שומרים על כושר גבוה
זורקים עיתון וקונים חדש
רואים משחק השבוע
ונפגשים עם כולם בשבת
במסיבה בשכונה.
כולם רואים שעה טובה
ומוחאים כפיים
אך השעה היא די רעה
תראו איך שאני נראה.
רוצה לבכות רוצה לצרוח
אך את זה לא ישדרו
להיות נחמד כדאי
כי עם ישראל עוד חי.
כולם רוצים שירים פשוטים -
אז קחו, אז קחו...."
היא התווכחה איתו שעות,משינה,1980s,"היא התווכחה איתו שעות
כמעט היתה על סף דמעות
הכל קרה כל כך מהר הרגישה צורך לספר
ישבו הם שניים בסלון
הסיט לאט את הוילון
מיד כיבה גם את האור
היה שיכור, היה שיכור
כן התנגדות הוא לא הרגיש
אינטלגנטי ורגיש
שניהם נולדו מזל סרטן
זה מסוכן, זה מסוכן
הכל הלך כל כך חלק
היו באמצע המשחק
כן הוא והיא והיא והוא
לה לי לה לי, לה  לי לה לו
היא אמרה תמצא מוצא, אני רוצה אותך
היא אמרה תמצא מוצא, אני רוצה אותך
הוא נאלץ להשתדל
פתאום הטלפון צלצל
מיד הרים והתנצל
אמר שהוא צריך לזוז
מאוד חפוז, מאוד חפוז
דחו הכל כבר למחר
שעה סבירה לא מאוחר
הטלפון נשאר אדיש
הוא לא הרגיש, היה אדיש
הוא לא ידע להתנהג
לכל אחד היה לועג
אבל עבד מאוד קשה
היה עוסק, עוסק מורשה
בטלפון שינה מספר
שלא יפריעו לו מחר
העסק נהפך רגיש
הוא כבר הרגיש
זה עסק ביש!
היא אמרה תמצא מוצא, אם לא אמצא אותך
היא אמרה תמצא מוצא, אם לא אמצא אותך
הוא נאלץ להיזהר
היא לא קיבלה טיפול נכון
היה לה מזג ים תיכון
היא רק רצתה להתנקם
את הברנש קצת לעקם
אחרי פגישה קצרה בבנק
החליפה מכונית בטנק
גנבה תחמושת מבסיס
זה רק תכסיס, זה רק תכסיס
איוושה פילחה את החלל
פגז חדר אל ההיכל
והתנפץ אל תוך הקיר
מוות מהיר, עתיד מזהיר
המשטרה שלחה חילוץ
לבדוק את פשר הפיצוץ
הוא נעלם בלהבה
כן זו כוחה של אהבה
היא אמרה תמצא מוצא, אם לא אמצא אותך
היא אמרה תמצא מוצא, אני רוצה אותך
אין שמש גשם, יש רק צל"
הדרך אל הכפר,רבקה זהר,1980s,"על הדרך היורדת מן הכפר
בין עצי האלונים והאלה
נשארו עוד בוודאי צעדי ועקבותי
ואימי עוד קוראת לי בקולה.
אך איני יודע מה קרה
אי אבדה הדרך הברוכה
אי אבדה הדרך אל הכפר
הדרך בה רציתי לשוב בחזרה.
אל הדרך הקסומה של ילדותי
אני שב בחסות הערפל
ונוגע בכולם בפניהם ובקולם
כמו נוגע בארץ ישראל.
אך איני יודע מה קרה...
ואני עובר ואני זוכר
כל מה שהשארתי שם
עוד ניצב הבית בין עצי הזית
רוח באה מן הים.
עוד ניצב הבית בין עצי הזית
רוח באה מן הים
ואני עובר ואני זוכר
וליבי עודנו שם."
