decade,feature,count,ratio
1980s,HebRoot=תור,3,3.8964075122736836e-05
1980s,HebRoot=מכר,3,3.8964075122736836e-05
1980s,HebRoot=חלק,3,3.8964075122736836e-05
1980s,HebRoot=פשׁט,3,3.8964075122736836e-05
1980s,HebRoot=רמז,3,3.8964075122736836e-05
1980s,HebRoot=חזק,3,3.8964075122736836e-05
1980s,HebRoot=חצי,3,3.8964075122736836e-05
1980s,HebRoot=דחי,3,3.8964075122736836e-05
1980s,HebRoot=שׁור,3,3.8964075122736836e-05
1980s,HebRoot=שׁתל,3,3.8964075122736836e-05
1980s,HebRoot=פרע,3,3.8964075122736836e-05
1980s,HebRoot=סלח,3,3.8964075122736836e-05
1980s,HebRoot=טפס,3,3.8964075122736836e-05
1980s,HebRoot=בטל,3,3.8964075122736836e-05
1980s,HebRoot=זהר,3,3.8964075122736836e-05
1980s,HebRoot=יצב,3,3.8964075122736836e-05
1980s,HebRoot=צרח,3,3.8964075122736836e-05
1980s,HebRoot=נפץ,3,3.8964075122736836e-05
1980s,HebRoot=חני,3,3.8964075122736836e-05
1980s,HebRoot=זלל,3,3.8964075122736836e-05
1980s,HebRoot=שׁלל,3,3.8964075122736836e-05
1980s,HebRoot=פרד,3,3.8964075122736836e-05
1980s,HebRoot=חיג,3,3.8964075122736836e-05
1980s,HebRoot=קשׁי,3,3.8964075122736836e-05
1980s,HebRoot=חדשׁ,3,3.8964075122736836e-05
1980s,HebRoot=הרג,3,3.8964075122736836e-05
1980s,HebRoot=אלץ,3,3.8964075122736836e-05
1980s,HebRoot=זכי,3,3.8964075122736836e-05
1980s,HebRoot=קלט,3,3.8964075122736836e-05
1980s,HebRoot=ערב,3,3.8964075122736836e-05
1980s,HebRoot=הזי,3,3.8964075122736836e-05
1980s,HebRoot=פצח,3,3.8964075122736836e-05
1980s,HebRoot=שׁפט,3,3.8964075122736836e-05
1980s,HebRoot=יצר,3,3.8964075122736836e-05
1980s,HebRoot=אבק,3,3.8964075122736836e-05
1980s,HebRoot=עוק,3,3.8964075122736836e-05
1980s,HebRoot=חשׁך,2,2.597605008182456e-05
1980s,HebRoot=יפע,2,2.597605008182456e-05
1980s,HebRoot=ענין,2,2.597605008182456e-05
1980s,HebRoot=תקתק,2,2.597605008182456e-05
1980s,HebRoot=קדשׁ,2,2.597605008182456e-05
1980s,HebRoot=מסס,2,2.597605008182456e-05
1980s,HebRoot=קפא,2,2.597605008182456e-05
1980s,HebRoot=מתח,2,2.597605008182456e-05
1980s,HebRoot=עצב,2,2.597605008182456e-05
1980s,PronType=In,2,2.597605008182456e-05
1980s,HebRoot=רנן,2,2.597605008182456e-05
1980s,HebRoot=נחם,2,2.597605008182456e-05
1980s,HebRoot=שׁפך,2,2.597605008182456e-05
1980s,HebRoot=רתח,2,2.597605008182456e-05
1980s,HebRoot=הסס,2,2.597605008182456e-05
1980s,HebRoot=יסר,2,2.597605008182456e-05
1980s,HebRoot=עדד,2,2.597605008182456e-05
1980s,HebRoot=שׁלב,2,2.597605008182456e-05
1980s,HebRoot=דהם,2,2.597605008182456e-05
1980s,HebRoot=שׁכם,2,2.597605008182456e-05
1980s,HebRoot=אשׁפז,2,2.597605008182456e-05
1980s,HebRoot=חצב,2,2.597605008182456e-05
1980s,HebRoot=עדף,2,2.597605008182456e-05
1980s,HebRoot=שׁקר,2,2.597605008182456e-05
1980s,HebRoot=לחץ,2,2.597605008182456e-05
1980s,HebRoot=לעס,2,2.597605008182456e-05
1980s,HebRoot=נוט,2,2.597605008182456e-05
1980s,HebRoot=בקר,2,2.597605008182456e-05
1980s,HebRoot=אשׁר,2,2.597605008182456e-05
1980s,HebRoot=צלם,2,2.597605008182456e-05
1980s,HebRoot=רחם,2,2.597605008182456e-05
1980s,HebRoot=רחק,2,2.597605008182456e-05
1980s,HebRoot=כרח,2,2.597605008182456e-05
1980s,HebRoot=בלבל,2,2.597605008182456e-05
1980s,HebRoot=שׁחק,2,2.597605008182456e-05
1980s,HebRoot=חשׁמל,2,2.597605008182456e-05
1980s,HebRoot=יצת,2,2.597605008182456e-05
1980s,HebRoot=דחף,2,2.597605008182456e-05
1980s,HebRoot=זקף,2,2.597605008182456e-05
1980s,HebRoot=כחשׁ,2,2.597605008182456e-05
1980s,HebRoot=סחב,2,2.597605008182456e-05
