feature,eta_squared,between_group_sum_of_squares,total_sum_of_squares,1980s_mean,2000s_mean,2020s_mean
binyan_pual_count,0.003868316736590258,0.9787554098750948,253.01842546063648,0.18,0.225,0.27918781725888325
pos_num_ratio,0.003369265276738144,0.0003560904866498957,0.10568787477447734,0.008795076298967402,0.007421110596682363,0.009233962824213609
time_words_ratio,0.0031368602923223,0.0013671351546742827,0.4358291499371037,0.029700258183224717,0.02690352246693766,0.026196716716920122
most_common_word_ratio,0.002951108284319976,0.0028775497743399885,0.9750742762063922,0.07153785483209352,0.06658622603302775,0.06726619377977316
love_words_ratio,0.002473738994163916,0.0001640215200679417,0.06630510351128549,0.004395445784150197,0.005286942992823777,0.004040867351286849
place_words_ratio,0.0020693265038386503,9.510341503476662e-05,0.045958631882570246,0.0030804011208417,0.002334462080200177,0.003254205284322419
avg_last_word_length,0.0018744393805404898,0.22983530718980202,122.61549217106696,4.526828668576282,4.51266688923559,4.479881491361833
masculine_ratio,0.00176834294064143,0.005983151742793711,3.383479304429177,0.3709877109136956,0.3743761781581299,0.3666296308369372
binyan_piel_ratio,0.0016627906192723473,0.007467329241217022,4.490841573598001,0.10403051889234519,0.1078662720753783,0.11268833375355035
punctuation_count,0.001585386501557274,381.4170061814995,240582.9782244556,14.51,16.45,15.284263959390863
comma_count,0.001395812690159529,63.09894013213275,45205.87939698492,5.755,6.215,5.4213197969543145
binyan_pual_ratio,0.00106153131611514,0.00020664484852744633,0.19466674735861716,0.00705465560344412,0.0067603935920398485,0.005682792451904536
pos_aux_ratio,0.000959997313738836,0.00011394786510749826,0.11869602495418793,0.010821638683755477,0.011505744937289668,0.011876938426300035
sadness_words_ratio,0.0009241318557762285,5.208349250252369e-05,0.0563593735861166,0.004071925230378946,0.004269489894824374,0.004774877156366395
old_israeli_words_ratio,0.0006647293715623654,7.949558626231594e-07,0.001195909037018648,0.000131937351038474,0.00017406299218795249,8.460236886632792e-05
pos_adp_ratio,0.0005804701780117227,0.000585642987761245,1.0089114134463215,0.16141723452123805,0.15975680136885223,0.15905465273183303
imperative_ratio,0.0002678918545278187,0.0006638083618112231,2.4778967728647054,0.033353010646102195,0.035836539759474526,0.03399794606407598
nostalgia_words_ratio,0.0002640387113180852,9.485446707801317e-06,0.0359244546394346,0.0039328636773414945,0.003913001760473765,0.0036554178279899585
we_vs_i_ratio,0.0002301653549880158,0.07133459201363455,309.9275823563837,0.19245526695526693,0.21833490409466577,0.19964837932903812
tense_present_count,0.0,0.0,0.0,0.0,0.0,0.0
tense_present_ratio,0.0,0.0,0.0,0.0,0.0,0.0
