song_name,artist_name,decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length
איפה הרומנטיקה,כרקוקלי,2020s,173,111,929,40,4.325,4.0,8,1,4.1502890173410405,0.6416184971098265,0.3583815028901734,0,0.0,0,0,0,0,0,0,0,0.0,11,0.275,29,3,0.525,41,0.36936936936936937,6,0.03468208092485549,2,0.011560693641618497,0,0.0,1,0.005780346820809248,4,0.023121387283236993,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.023121387283236993,0.011560693641618497,0.0,0.023121387283236993,0.0,0.0,28,0.3,5.275
אל תעזבי ידיים,עקיבא תורג'מן,2020s,172,99,844,35,4.914285714285715,5,8,3,3.8313953488372094,0.5755813953488372,0.42441860465116277,5,0.005924170616113744,0,0,1,1,0,0,0,0.0,8,0.22857142857142856,27,3,0.34285714285714286,23,0.23232323232323232,8,0.046511627906976744,0,0.0,0,0.0,14,0.08139534883720931,3,0.01744186046511628,0.0,0.8235294117647058,0.0,0.0,0.0,0.005813953488372093,0.0,0.011627906976744186,0.0,0.0,0.0,0.040697674418604654,0.0,0.0,24,0.3142857142857143,4.571428571428571
אם אתה גבר,נועה קירל,2020s,272,83,1314,52,5.230769230769231,5.0,9,3,3.7536764705882355,0.30514705882352944,0.6948529411764706,31,0.02359208523592085,6,0,4,19,0,2,0,0.0,29,0.5576923076923077,23,8,0.8076923076923077,49,0.5903614457831325,24,0.08823529411764706,13,0.04779411764705882,0,0.0,31,0.11397058823529412,0,0.0,0.0,0.7045454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0661764705882353,0.0,0.025735294117647058,0.0,0.0,21,0.5961538461538461,5.076923076923077
תל אביב זה אני ואת,אמיר ובן וג'יין בורדו,2020s,251,154,1239,42,5.976190476190476,5.0,14,1,3.8406374501992033,0.6135458167330677,0.38645418326693226,8,0.00645682001614205,4,0,4,0,0,0,0,0.0,3,0.07142857142857142,39,2,0.14285714285714285,44,0.2857142857142857,11,0.043824701195219126,15,0.05976095617529881,3,0.01195219123505976,8,0.03187250996015936,0,0.0,0.2,0.3076923076923077,0.01195219123505976,0.0,0.00398406374501992,0.0,0.00398406374501992,0.00398406374501992,0.00796812749003984,0.00398406374501992,0.027888446215139442,0.0199203187250996,0.0,0.0,35,0.16666666666666666,4.690476190476191
קחי את הפחדים,בניה ברבי,2020s,91,74,439,16,5.6875,5.5,8,4,3.659340659340659,0.8131868131868132,0.18681318681318682,16,0.03644646924829157,0,0,4,0,2,0,0,0.0,0,0.0,16,1,0.0,10,0.13513513513513514,4,0.04395604395604396,2,0.02197802197802198,0,0.0,6,0.06593406593406594,1,0.01098901098901099,0.0,0.6666666666666666,0.01098901098901099,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.0,0.03296703296703297,0.0,0.0,15,0.0625,4.4375
לקחת את המפתחות,איתי לוי,2020s,224,114,1112,44,5.090909090909091,5.0,7,3,3.875,0.5089285714285714,0.49107142857142855,12,0.01079136690647482,0,0,0,3,0,0,0,0.0,12,0.2727272727272727,32,3,0.4318181818181818,44,0.38596491228070173,9,0.04017857142857143,14,0.0625,2,0.008928571428571428,14,0.0625,0,0.0,0.14285714285714285,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.004464285714285714,0.0,0.0,0.03571428571428571,0.0,0.0,29,0.3409090909090909,4.931818181818182
מים שקופים,עומר אדם,2020s,182,84,836,26,7.0,6.0,10,5,3.565934065934066,0.46153846153846156,0.5384615384615384,3,0.0035885167464114833,0,0,3,0,0,0,0,0.0,9,0.34615384615384615,17,2,0.6923076923076923,51,0.6071428571428571,10,0.054945054945054944,7,0.038461538461538464,6,0.03296703296703297,11,0.06043956043956044,0,0.0,0.8571428571428571,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.005494505494505495,0.0,0.0,0.1043956043956044,0.0,0.0,16,0.38461538461538464,4.230769230769231
חביב אלבי,סטטיק ובן-אל תבורי עם נסרין קדרי,2020s,353,134,1718,76,4.644736842105263,5.0,10,1,3.54957507082153,0.37960339943342775,0.6203966005665722,90,0.05238649592549476,3,1,40,2,2,2,320,0.18626309662398138,32,0.42105263157894735,44,6,0.5921052631578947,51,0.3805970149253731,73,0.20679886685552407,10,0.028328611898016998,0,0.0,7,0.019830028328611898,0,0.0,0.0,0.4117647058823529,0.0084985835694051,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0453257790368272,0.0113314447592068,0.0,0.0,39,0.4868421052631579,4.2368421052631575
היום יהיה שמח,נתן גושן,2020s,110,61,551,20,5.5,5.5,8,4,3.809090909090909,0.5545454545454546,0.44545454545454544,23,0.041742286751361164,0,0,17,0,0,0,0,0.0,7,0.35,13,2,0.7,36,0.5901639344262295,6,0.05454545454545454,8,0.07272727272727272,0,0.0,2,0.01818181818181818,0,0.0,0.0,0.2,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.05454545454545454,0.0,0.0,11,0.45,4.95
זוהר הרקיע,יונתן רזאל וברי סחרוף,2020s,95,42,560,32,2.96875,3.0,4,2,4.905263157894737,0.4421052631578947,0.5578947368421052,0,0.0,0,0,0,0,0,0,0,0.0,18,0.5625,14,10,0.78125,20,0.47619047619047616,14,0.14736842105263157,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.59375,4.875
