Feature Group,Model,Accuracy,Acc Std,Macro F1,F1 Std,N Features
dicta_lemma_root,Random Forest,0.43722689075630256,0.04463391408199842,0.43132416133006946,0.04506804644084802,3
dicta_lemma_root,Gradient Boosting,0.4170868347338936,0.03953007730309857,0.412308403291713,0.03871525125261775,3
punctuation_formatting,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,8
punctuation_formatting,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,8
punctuation_formatting,Logistic Regression,0.5059103641456583,0.06130641986233361,0.47126304462385676,0.06495597843803932,8
punctuation_formatting,Linear SVM,0.48914565826330536,0.06297501891916997,0.43611891600814295,0.06378641687728884,8
punctuation_formatting,Random Forest,0.4690196078431373,0.028480198447050784,0.46653150595734233,0.03167165141643964,8
punctuation_formatting,Gradient Boosting,0.47408963585434166,0.027680789336333052,0.4726482855361418,0.026457420645497966,8
last_word,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,3
last_word,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,3
last_word,Logistic Regression,0.4606862745098039,0.025720006320705157,0.45407804911705674,0.0254682741377404,3
last_word,Linear SVM,0.44726890756302523,0.022858498751457446,0.431608431921752,0.026454966809356283,3
last_word,Random Forest,0.4086554621848739,0.042729543116604304,0.40759317015248075,0.042940451570080515,3
last_word,Gradient Boosting,0.4219467787114846,0.0438109386748826,0.4219463329125799,0.044691658445837064,3
all_numeric,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,132
all_numeric,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,132
all_numeric,Logistic Regression,0.5980252100840336,0.036640390059933664,0.5967045583958869,0.03620389087388868,132
all_numeric,Linear SVM,0.5711624649859944,0.026032357220747312,0.5694569039767359,0.025483126502481426,132
all_numeric,Random Forest,0.5896498599439777,0.012806696956972166,0.587130704837457,0.011190024390957764,132
all_numeric,Gradient Boosting,0.5828851540616247,0.043466688349820246,0.5813637849555235,0.04767203978895963,132
reduced_non_redundant,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,124
reduced_non_redundant,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,124
reduced_non_redundant,Logistic Regression,0.5963585434173668,0.03269967712415824,0.5952477409342741,0.03248427712338976,124
reduced_non_redundant,Linear SVM,0.5795238095238094,0.039918585593952366,0.5765389941295579,0.03801741637135305,124
reduced_non_redundant,Random Forest,0.589593837535014,0.012424287570691675,0.5869835813502388,0.01333710170705859,124
reduced_non_redundant,Gradient Boosting,0.6046218487394958,0.056275618250325184,0.601785170070333,0.05994875021061301,124
tfidf_unigrams,Logistic Regression,0.6298459383753501,0.027700177998000633,0.6229481213522647,0.030199357376190224,5000
tfidf_unigrams,Linear SVM,0.6248039215686274,0.027489197658086533,0.6176664651682451,0.023000026758854365,5000
tfidf_unigrams,Multinomial NB,0.5945658263305322,0.033723605668706115,0.5798517786857289,0.028771354395372283,5000
tfidf_bigrams,Logistic Regression,0.6264705882352941,0.012256222417856455,0.6224356736777721,0.01089240359274834,5000
tfidf_bigrams,Linear SVM,0.6331512605042017,0.030233537722070613,0.6271135018246551,0.024418927466032362,5000
tfidf_bigrams,Multinomial NB,0.609733893557423,0.02375483916216051,0.606786922616045,0.026561562445360842,5000
numeric+tfidf_bigrams,Logistic Regression,0.5963865546218488,0.04150239727523987,0.5946351002023957,0.04171545749131672,5132
numeric+tfidf_bigrams,Linear SVM,0.5996218487394958,0.0282704252122007,0.5976502728019806,0.029541511695022653,5132
